SET courses,SET courses-href,courses list,courses list-href,pre_req,Assumed Knowledge,course description,course code,level,Incompatible,Units,course name,Term,Locations
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4070BWT - Honours Viticulture Project (Two-Year) FinalWaite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/108463/1/sem-2/,null,null,This research project is selected at the start of the Honours year following consultation with the Honours Coordinator and depends on availability of research supervisors in any particular year.,VITICULT 4070BWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4040AWT/BWT",18,Honours Viticulture Project (Two-Year) Final,Semester 2,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4070BWT - Honours Viticulture Project (Two-Year) FinalWaite Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/108463/1/sem-1/,null,null,This research project is selected at the start of the Honours year following consultation with the Honours Coordinator and depends on availability of research supervisors in any particular year.,VITICULT 4070BWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4040AWT/BWT",18,Honours Viticulture Project (Two-Year) Final,Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4070AWT - Honours Viticulture Project (Two-Year) ContinuingWaite Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/108462/1/sem-1/,null,null,This research project is selected at the start of the Honours year following consultation with the Honours Coordinator and depends on availability of research supervisors in any particular year.,VITICULT 4070AWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4040AWT/BWT",null,Honours Viticulture Project (Two-Year) Continuing,Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4070AWT - Honours Viticulture Project (Two-Year) ContinuingWaite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/108462/1/sem-2/,null,null,This research project is selected at the start of the Honours year following consultation with the Honours Coordinator and depends on availability of research supervisors in any particular year.,VITICULT 4070AWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4040AWT/BWT",null,Honours Viticulture Project (Two-Year) Continuing,Semester 2,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4060BWT - Honours Viticulture Project Pt 2Waite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/108461/1/sem-2/,null,null,This research project is selected at the start of the Honours year following consultation with the Honours Coordinator and depends on availability of research supervisors in any particular year.,VITICULT 4060BWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4030AWT/BWT",18,Honours Viticulture Project Pt 2,Semester 2,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4060BWT - Honours Viticulture Project Pt 2Waite Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/108461/1/sem-1/,null,null,This research project is selected at the start of the Honours year following consultation with the Honours Coordinator and depends on availability of research supervisors in any particular year.,VITICULT 4060BWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4030AWT/BWT",18,Honours Viticulture Project Pt 2,Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4060AWT - Honours Viticulture Project Pt 1Waite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/108460/1/sem-2/,null,null,This research project is selected at the start of the Honours year following consultation with the Honours Coordinator and depends on availability of research supervisors in any particular year.,VITICULT 4060AWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4030AWT/BWT",null,Honours Viticulture Project Pt 1,Semester 2,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4060AWT - Honours Viticulture Project Pt 1Waite Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/108460/1/sem-1/,null,null,This research project is selected at the start of the Honours year following consultation with the Honours Coordinator and depends on availability of research supervisors in any particular year.,VITICULT 4060AWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4030AWT/BWT",null,Honours Viticulture Project Pt 1,Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4050BWT - Advanced Viticulture (Hons) Pt 2Waite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/108459/1/sem-2/,VITICULT 4050AWT in previous Semester,null,"This modular course covers a range of advanced topics in Viticulture, the methods of presentation and assessment of which vary according to module.",VITICULT 4050BWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4020AWT/BWT",6,Advanced Viticulture (Hons) Pt 2,Semester 2,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4050BWT - Advanced Viticulture (Hons) Pt 2Waite Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/108459/1/sem-1/,VITICULT 4050AWT in previous Semester,null,"This modular course covers a range of advanced topics in Viticulture, the methods of presentation and assessment of which vary according to module.",VITICULT 4050BWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4020AWT/BWT",6,Advanced Viticulture (Hons) Pt 2,Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4050AWT - Advanced Viticulture (Hons) Pt 1Waite Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/108458/1/sem-1/,null,null,"This modular course covers a range of advanced topics in Viticulture, the methods of presentation and assessment of which vary according to module.",VITICULT 4050AWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4020AWT/BWT",null,Advanced Viticulture (Hons) Pt 1,Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4050AWT - Advanced Viticulture (Hons) Pt 1Waite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/108458/1/sem-2/,null,null,"This modular course covers a range of advanced topics in Viticulture, the methods of presentation and assessment of which vary according to module.",VITICULT 4050AWT,Undergraduate,"VITICULT 4006AWT/BWT, VITICULT 4020AWT/BWT",null,Advanced Viticulture (Hons) Pt 1,Semester 2,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4010BWT - Honours Viticulture and Oenology Part 2Waite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/106691/1/sem-2/,VITICULT 4010AWT in previous Semester,null,"This course comprises a substantial research project of the student's choosing on a topic related to either viticulture or wine-related research. Students will be assessed through individual presentations, preparation of a literature review and research proposal, capacity of independent research and the ability to distil research findings in a final thesis document. The thesis will be examined and then defended by

the student,",VITICULT 4010BWT,Undergraduate,null,12,Honours Viticulture and Oenology Part 2,Semester 2,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4010BWT - Honours Viticulture and Oenology Part 2Waite Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/106691/1/sem-1/,VITICULT 4010AWT in previous Semester,null,"This course comprises a substantial research project of the student's choosing on a topic related to either viticulture or wine-related research. Students will be assessed through individual presentations, preparation of a literature review and research proposal, capacity of independent research and the ability to distil research findings in a final thesis document. The thesis will be examined and then defended by

the student,",VITICULT 4010BWT,Undergraduate,null,12,Honours Viticulture and Oenology Part 2,Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4010AWT - Honours Viticulture and Oenology Part 1Waite Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/106690/1/sem-1/,null,null,"This course comprises a substantial research project of the student's choosing on a topic related to either viticulture or wine-related research. Students will be assessed through individual presentations, preparation of a literature review and research proposal, capacity of independent research and the ability to distil research findings in a final thesis document. The thesis will be examined and then defended by

the student.",VITICULT 4010AWT,Undergraduate,null,null,Honours Viticulture and Oenology Part 1,Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 4010AWT - Honours Viticulture and Oenology Part 1Waite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/106690/1/sem-2/,null,null,"This course comprises a substantial research project of the student's choosing on a topic related to either viticulture or wine-related research. Students will be assessed through individual presentations, preparation of a literature review and research proposal, capacity of independent research and the ability to distil research findings in a final thesis document. The thesis will be examined and then defended by

the student.",VITICULT 4010AWT,Undergraduate,null,null,Honours Viticulture and Oenology Part 1,Semester 2,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,"VITICULT 3500WT - Grape and Wine Industry Practice, Policy and Communication IIIWaite Campus | Semester 1 | 2023",https://www.adelaide.edu.au/course-outlines/105360/1/sem-1/,null,"OENOLOGY 2502WT, OENOLOGY 2503WT, VITICULT 2500WT & VITICULT 3021WT","This course examines some of the current policies and issues confronting the Australian wine industry. These include the various legislative requirements at state and federal levels, the representative organisations for grape growers and winemakers, and the role of industry bodies in the establishment and protection of Australia's domestic and international wine markets. The activities and operation of the numerous industry organisations and research providers are examined from both a national and international perspective. A detailed examination of the current policies associated with alcohol and society is presented. The course is built around a series of presentations by selected industry experts. The changing face of wine communication is explored, with an emphasis on the use of emerging technologies and approaches to reach new audiences.",VITICULT 3500WT,Undergraduate,null,3,"Grape and Wine Industry Practice, Policy and Communication III",Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 3044WT - Viticultural Methods and Procedures IIIWaite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/102643/1/sem-2/,VITICULT 2500WT,null,"This course looks at the practices associated with the development and operation of a viticultural enterprise. Topics include: organic viticulture, advanced propagation techniques, control of bird management, spray equipment calibration and spray application; pruning, training, trellis erection and repair, propagation, canopy management, physiological pruning, pests and diseases. This course includes visits to commercial vineyards and equipment suppliers.",VITICULT 3044WT,Undergraduate,null,3,Viticultural Methods and Procedures III,Semester 2,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 3021WT - Viticultural Science IIIWaite Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/101978/1/sem-1/,VITICULT 2500WT,null,"Viticultural Science III follows on from concepts acquired in Viticultural Science II covering the entire life cycle of the cultivated grapevine. Topics covered in this course include; climate change and its impact on viticulture, berry development and harvesting post-veraison, principles behind the establishment of a viticultural enterprise comprising site selection, choice of planting material, the design and establishment of the vineyard and trellising and canopy management.",VITICULT 3021WT,Undergraduate,null,3,Viticultural Science III,Semester 1,Waite Campus
"Viticulture
VITICULT",https://www.adelaide.edu.au/course-outlines/ug/viticult/,VITICULT 2500WT - Viticultural Science IIWaite Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/104341/1/sem-2/,null,"OENOLOGY 1018NW & BIOLOGY 1101 or BIOLOGY 1001, & BIOLOGY 1202","Viticultural Science II covers the entire life cycle of the cultivated grapevine with an emphasis on the phases of production covering dormancy, bud break, flowering and fruit development prior to veraison. Topics covered include: The growth cycle of the grapevine and the biology that underpins the different phenological stages; physiology as it is relevant to growth and vine form, flowering, water use, drought and salt stress, mineral nutrition, and berry development; anatomy of the vegetative and reproductive parts; taxonomy of grapevines and vegetative variety identification. Practical sessions will focus in more depth on the following topics: pruning techniques, vine and bud anatomy, shoot based variety identification, shoot morphology and development, yield estimation, and mineral nutrition.",VITICULT 2500WT,Undergraduate,null,3,Viticultural Science II,Semester 2,Waite Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 3025RW - Clinical Practice in Veterinary Technology IIIRoseworthy Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/110331/1/sem-2/,"Completion of all Level I & Level II courses in Bachelor of Veterinary Technology program, and VET TECH 3010RW",null,"Veterinary Technologists in practice utilise and apply their acquired knowledge and skill on a daily basis to assist the veterinary team in providing high quality health care for their patients, plus support and education to their clients. In this core course, Veterinary  Technology  students  will  employ  their  existing  knowledge  and  skill  in  the  real life  clinical  environment  of  the University's veterinary teaching hospitals and external placements to refine their knowledge and proficiency in all aspects of patient care. Students will complete a total of 240 hours of work placement, 120 hours Internally, and 120 hours externally in an area of special interest.",VET TECH 3025RW,Undergraduate,null,6,Clinical Practice in Veterinary Technology III,Semester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 3020BRW - Transition to the Veterinary Technology Profession III Part BRoseworthy Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/110995/1/sem-2/,Completion of Level I and II courses in Bachelor of Veterinary Technology Program,null,"Transition to the Veterinary Technology Profession III will provide Veterinary Technology students with learning opportunities designed to prepare them for transition to post graduate life. The course will focus on integrating employability capabilities such as business management, occupational awareness, advanced clinical communication, wellbeing and ethical reasoning skills which align with students? Work Integrated Learning placements. The course will be delivered via an intensive delivery model.",VET TECH 3020BRW,Undergraduate,null,3,Transition to the Veterinary Technology Profession III Part B,Semester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 3020ARW - Transition to the Veterinary Technology Profession III Part ARoseworthy Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/110994/1/sem-1/,Completion of Level I and II courses in Bachelor of Veterinary Technology Program,null,"Transition to the Veterinary Technology Profession III will provide Veterinary Technology students with learning opportunities designed to prepare them for transition to post graduate life. The course will focus on integrating employability capabilities such as business management, occupational awareness, advanced clinical communication, wellbeing and ethical reasoning skills which align with students? Work Integrated Learning placements. The course will be delivered via an intensive delivery model.",VET TECH 3020ARW,Undergraduate,null,null,Transition to the Veterinary Technology Profession III Part A,Semester 1,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 3015RW - Managing Animals in EmergenciesRoseworthy Campus | Quadmester 2 | 2023,https://www.adelaide.edu.au/course-outlines/110329/1/quad-2/,VET TECH 2015RW and VET TECH 2525RW,null,"Veterinary professionals play an integral role in emergency events that impact animal welfare such as floods, bush fires, earthquakes and terrorist attacks. Animal emergency management is a new discipline that provides a framework for various agencies to work together with a transdisciplinary approach to prepare for, respond to, and recover from emergency events. Animal emergency management requires an understanding of the core principles and phases of emergency management (mitigation, preparedness, response, recovery) at a state, regional and local level. This course will provide the student with basic tools and skills to contribute to animal emergency management and improve human and animal wellbeing. The course will be delivered via an intensive model with a mixture of online learning experiences and blocked week of practical or workshop activities. Students will engage in a field trip to an animal facility during the blocked week of practicals/workshops in order to perform a risk assessment aligned to their course assessment.",VET TECH 3015RW,Undergraduate,null,3,Managing Animals in Emergencies,Quadmester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 3010RW - Clinical Skills in Veterinary Technology IIIRoseworthy Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/110328/1/sem-1/,Completion of all Level I & Level II courses in Bachelor of Veterinary Technology Program,null,"Veterinary Technologists in practice utilise and apply their acquired knowledge and skill on a daily basis to assist the veterinary team in providing high quality health care for their patients, and support and education to their clients. In this core course, Veterinary Technology students will employ their existing knowledge and skill in the real life clinical environment to further develop their knowledge and proficiency in all aspects of patient care. Students will complete a total of 240 hours (6 weeks) of work placement(s) on a roster basis, Students will engage in clinical related activities related to small animal medicine, surgery & sterile supply, anaesthesia, large animal medicine, diagnostic imaging, and veterinary diagnostic laboratories (VDL) during their 6 weeks of placement. A portion of the placement may be delivered as a distributed placement external to the University?s teaching hospitals. These rosters fit into a 48 week academic year that begins in early January of level III of the Bachelor of Veterinary Technology program.",VET TECH 3010RW,Undergraduate,null,6,Clinical Skills in Veterinary Technology III,Semester 1,Roseworthy Campus
