computer science,computer science-href,cs courses,cs courses-href,pre_req,Assumed Knowledge,course description,course id,location_time,level,Incompatible,Units
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4817 - Applied Natural Language Processing Honours,https://www.adelaide.edu.au/course-outlines/110404/1/sem-1/,,COMP SCI 7317,"This course examines machine learning techniques that obtain leading results on the problem of natural language processing (NLP). NLP is a critical step towards effective communication between people and machines. You will learn how to represent words and text, the use of deep recurrent models for text prediction, and issues that separate NLP from other application domains. This will be reinforced by applying deep learning tools to NLP through examples and practical projects.",COMP SCI 4817 - Applied Natural Language Processing Honours,North Terrace Campus - Semester 1 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4816 - Applied Machine Learning Honours,https://www.adelaide.edu.au/course-outlines/110403/1/sem-2/,,COMP SCI 7317,This course surveys the practical application of machine learning in modern organisations and society. Case studies will be used to demonstrate current best practice as well as common pitfalls. You will learn processes for tool-selection based on requirements and available resources; verifying and validating discovered models and how to apply results in real environments; and information resources for tracking technological advances,COMP SCI 4816 - Applied Machine Learning Honours,North Terrace Campus - Semester 2 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4811 - Event Driven Computing,https://www.adelaide.edu.au/course-outlines/109820/1/sem-2/,COMP SCI 2201,COMP SCI 2103,"Event-driven systems are the backbone of modern computer systems and services. This course explores the fundamental principles behind these systems; Finite State Automata, their behaviour and implementation; Correspondence with regular expressions; Examples of embedded systems; Introduction to interconnected state machines, Petri Nets, and concurrency. We'll also explore modern approaches to event-driven systems; Reactive Programming; event streams, and observable data.",COMP SCI 4811 - Event Driven Computing,North Terrace Campus - Semester 2 - 2023,Undergraduate,COMP SCI 4411,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4807 - Advanced Algorithms,https://www.adelaide.edu.au/course-outlines/109070/1/sem-1/,COMP SCI 2201,,"The development of a sound theoretical understanding of advanced algorithms and practical problem solving skills using them.  Advanced algorithm topics chosen from: Dynamic Programming, Linear Programming, Matching, Max Flow / Min Cut, P and NP, Approximation Algorithms, Randomized Algorithms, Computational Geometry.",COMP SCI 4807 - Advanced Algorithms,North Terrace Campus - Semester 1 - 2023,Undergraduate,"COMP SCI 3301, COMP SCI 4407",3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4417 - Applied Natural Language Processing UG,https://www.adelaide.edu.au/course-outlines/110402/1/sem-1/,,,"This course examines machine learning techniques that obtain leading results on the problem of natural language processing (NLP). NLP is a critical step towards effective communication between people and machines. You will learn how to represent words and text, the use of deep recurrent models for text prediction, and issues that separate NLP from other application domains. This will be reinforced by applying deep learning tools to NLP through examples and practical projects",COMP SCI 4417 - Applied Natural Language Processing UG,North Terrace Campus - Semester 1 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4416 - Applied Machine Learning UG,https://www.adelaide.edu.au/course-outlines/110401/1/sem-2/,,,This course surveys the practical application of machine learning in modern organisations and society. Case studies will be used to demonstrate current best practice as well as common pitfalls. You will learn processes for tool-selection based on requirements and available resources; verifying and validating discovered models and how to apply results in real environments; and information resources for tracking technological advances.,COMP SCI 4416 - Applied Machine Learning UG,North Terrace Campus - Semester 2 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4414B - Software Engineering Research Project  B,https://www.adelaide.edu.au/course-outlines/109878/1/sem-2/,COMP SCI 4414A,,"The final year research project is aimed at providing students with an opportunity to apply Software Engineering knowledge, understanding, and skills to an industrially sourced project. The projects are jointlysupervised by academic supervisors and the external clients, who propose projects. The students are assigned to different small teams that are expected to work collaboratively on the assigned project that will involve aspects of research and development. Students are expected to demonstrate the application of software engineering principles and

practices by following defined processes, which are tracked using online

repositories and communication tools. The project also provides a pathway to enrolment in a higher degree by research.",COMP SCI 4414B - Software Engineering Research Project  B,North Terrace Campus - Semester 2 - 2023,Undergraduate,,6
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4414A - Software Engineering Research Project A,https://www.adelaide.edu.au/course-outlines/109877/1/sem-1/,,,"The research project is aimed at providing students with an opportunity to apply Software Engineering knowledge, understanding, and skills to an industrially sourced project. The projects are jointly supervised by academic supervisors and the external clients, who propose projects. The students are assigned to different small teams that are expected to work collaboratively on the assigned project that will involve aspects of research and development. Students are expected to demonstrate the application of software engineering principles and

practices by following defined processes, which are tracked using online

repositories and communication tools. The project also provides a pathway to enrolment in a higher degree by research.",COMP SCI 4414A - Software Engineering Research Project A,North Terrace Campus - Semester 1 - 2023,Undergraduate,,
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4411 - Event Driven Computing,https://www.adelaide.edu.au/course-outlines/109819/1/sem-2/,COMP SCI 2201,COMP SCI 2103,"Event-driven systems are the backbone of modern computer systems and services. This course explores the fundamental principles behind these systems; Finite State Automata, their behaviour and implementation; Correspondence with regular expressions; Examples of embedded systems; Introduction to interconnected state machines, Petri Nets, and concurrency. We'll also explore modern approaches to event-driven systems; Reactive Programming; event streams, and observable data.",COMP SCI 4411 - Event Driven Computing,North Terrace Campus - Semester 2 - 2023,Undergraduate,COMP SCI 4811,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4409 - Search Based Software Engineering,https://www.adelaide.edu.au/course-outlines/109075/1/sem-1/,COMP SCI 2201,,"Many activities in software engineering involve an element of search. Some examples include selection of requirements, localisation and correction of defects, and the optimisation of test coverage. The fast-growing field of Search-Based Software Engineering (SBSE) applies computing resources to these search problems to improve the efficiency and quality of software engineering processes.

This course aims to introduce students to a wide range of SBSE terminology, techniques, and processes. The concepts taught in the lectures will be practised and reinforced by participation in three projects, and one seminar with a written essay on a recent SBSE-related conference article.",COMP SCI 4409 - Search Based Software Engineering,North Terrace Campus - Semester 1 - 2023,Undergraduate,COMP SCI 4809,3
